name,code
ALBANY PARK,14
ARCHER HEIGHTS,57
ARMOUR SQUARE,34
ASHBURN,70
AUBURN GRESHAM,71
AUSTIN,25
AVALON PARK,45
AVONDALE,21
BELMONT CRAGIN,19
BEVERLY,72
BRIDGEPORT,60
BRIGHTON PARK,58
BURNSIDE,47
CALUMET HEIGHTS,48
CHATHAM,44
CHICAGO LAWN,66
CLEARING,64
DOUGLAS,35
DUNNING,17
EAST GARFIELD PARK,27
EAST SIDE,52
EDGEWATER,77
EDISON PARK,9
ENGLEWOOD,68
FOREST GLEN,12
FULLER PARK,37
GAGE PARK,63
GARFIELD RIDGE,56
GRAND BOULEVARD,38
GREATER GRAND CROSSING,69
HEGEWISCH,55
HERMOSA,20
HUMBOLDT PARK,23
HYDE PARK,41
IRVING PARK,16
JEFFERSON PARK,11
KENWOOD,39
LAKE VIEW,6
LINCOLN PARK,7
LINCOLN SQUARE,4
LOGAN SQUARE,22
LOOP,32
LOWER WEST SIDE,31
MCKINLEY PARK,59
MONTCLARE,18
MORGAN PARK,75
MOUNT GREENWOOD,74
NEAR NORTH SIDE,8
NEAR SOUTH SIDE,33
NEAR WEST SIDE,28
NEW CITY,61
NORTH CENTER,5
NORTH LAWNDALE,29
NORTH PARK,13
NORWOOD PARK,10
OAKLAND,36
OHARE,76
PORTAGE PARK,15
PULLMAN,50
RIVERDALE,54
ROGERS PARK,1
ROSELAND,49
SOUTH CHICAGO,46
SOUTH DEERING,51
SOUTH LAWNDALE,30
SOUTH SHORE,43
UPTOWN,3
WASHINGTON HEIGHTS,73
WASHINGTON PARK,40
WEST ELSDON,62
WEST ENGLEWOOD,67
WEST GARFIELD PARK,26
WEST LAWN,65
WEST PULLMAN,53
WEST RIDGE,2
WEST TOWN,24
WOODLAWN,42
