"","unique(data$company)"
"1","""01/02 12 PM"""
"2","""01/02 06 PM"""
"3","""01/03 10 AM"""
"4","""01/04 06 PM"""
"5","""01/05 01 AM"""
"6","""01/08 02 PM"""
"7","""01/08 06 PM"""
"8","""01/12 05 PM"""
"9","""01/12 06 PM"""
"10","""01/13 07 PM"""
"11","""01/13 10 PM"""
"12","""01/14 11 AM"""
"13","""01/17 08 AM"""
"14","""01/17 03 PM"""
"15","""01/19 06 AM"""
"16","""01/21 05 PM"""
"17","""01/22 01 PM"""
"18","""01/23 12 AM"""
"19","""01/25 10 AM"""
"20","""01/25 01 PM"""
"21","""01/26 09 PM"""
"22","""01/26 10 PM"""
"23","""01/27 07 PM"""
"24","""01/30 05 AM"""
"25","""01/31 02 PM"""
"26","""02/04 12 AM"""
"27","""02/04 07 PM"""
"28","""02/05 08 PM"""
"29","""02/06 05 AM"""
"30","""02/06 08 AM"""
"31","""02/07 08 PM"""
"32","""02/08 01 PM"""
"33","""02/10 06 AM"""
"34","""02/10 09 PM"""
"35","""02/11 05 PM"""
"36","""02/11 09 PM"""
"37","""02/13 10 AM"""
"38","""02/13 11 AM"""
"39","""02/15 02 PM"""
"40","""02/15 05 PM"""
"41","""02/15 08 PM"""
"42","""02/17 12 AM"""
"43","""02/20 10 AM"""
"44","""02/21 01 PM"""
"45","""02/27 12 AM"""
"46","""02/27 10 PM"""
"47","""02/28 01 PM"""
"48","""03/01 12 PM"""
"49","""03/04 08 AM"""
"50","""03/04 01 PM"""
"51","""03/06 10 AM"""
"52","""03/08 07 AM"""
"53","""03/09 02 AM"""
"54","""03/09 04 PM"""
"55","""03/11 09 AM"""
"56","""03/11 11 AM"""
"57","""03/14 02 PM"""
"58","""03/16 02 AM"""
"59","""03/16 05 PM"""
"60","""03/20 11 PM"""
"61","""03/24 08 AM"""
"62","""03/24 09 PM"""
"63","""03/26 01 PM"""
"64","""03/27 01 PM"""
"65","""03/31 01 AM"""
"66","""04/01 06 PM"""
"67","""04/01 09 PM"""
"68","""04/02 06 PM"""
"69","""04/04 09 PM"""
"70","""04/06 03 AM"""
"71","""04/13 03 AM"""
"72","""04/16 07 AM"""
"73","""04/16 03 PM"""
"74","""04/17 10 AM"""
"75","""04/18 04 PM"""
"76","""04/21 03 AM"""
"77","""04/21 11 PM"""
"78","""04/22 10 AM"""
"79","""04/24 01 PM"""
"80","""04/24 08 PM"""
"81","""04/25 11 PM"""
"82","""04/28 03 AM"""
"83","""04/29 03 AM"""
"84","""05/01 02 PM"""
"85","""05/04 10 PM"""
"86","""05/05 02 AM"""
"87","""05/05 10 AM"""
"88","""05/07 09 PM"""
"89","""05/08 09 AM"""
"90","""05/11 02 AM"""
"91","""05/11 09 AM"""
"92","""05/11 09 PM"""
"93","""05/14 02 PM"""
"94","""05/15 02 AM"""
"95","""05/16 11 AM"""
"96","""05/16 07 PM"""
"97","""05/17 07 PM"""
"98","""05/17 10 PM"""
"99","""05/18 08 AM"""
"100","""05/18 12 PM"""
"101","""05/19 08 PM"""
"102","""05/19 09 PM"""
"103","""05/23 10 AM"""
"104","""05/23 12 PM"""
"105","""05/23 04 PM"""
"106","""05/23 09 PM"""
"107","""05/24 10 AM"""
"108","""05/24 08 PM"""
"109","""05/25 02 PM"""
"110","""05/26 03 AM"""
"111","""05/26 09 AM"""
"112","""05/26 03 PM"""
"113","""05/28 02 PM"""
"114","""05/29 02 PM"""
"115","""05/30 11 AM"""
"116","""05/31 07 AM"""
"117","""06/01 02 PM"""
"118","""06/02 07 PM"""
"119","""06/04 03 PM"""
"120","""06/05 01 AM"""
"121","""06/05 05 PM"""
"122","""06/05 06 PM"""
"123","""06/07 06 PM"""
"124","""06/07 09 PM"""
"125","""06/08 01 PM"""
"126","""06/08 11 PM"""
"127","""06/09 04 AM"""
"128","""06/10 11 AM"""
"129","""06/11 07 AM"""
"130","""06/11 07 PM"""
"131","""06/12 09 AM"""
"132","""06/12 02 PM"""
"133","""06/12 07 PM"""
"134","""06/14 01 PM"""
"135","""06/15 08 AM"""
"136","""06/15 02 PM"""
"137","""06/15 03 PM"""
"138","""06/16 03 AM"""
"139","""06/16 03 PM"""
"140","""06/20 10 AM"""
"141","""06/20 12 PM"""
"142","""06/20 07 PM"""
"143","""06/21 11 AM"""
"144","""06/21 12 PM"""
"145","""06/21 03 PM"""
"146","""06/21 07 PM"""
"147","""06/22 05 AM"""
"148","""06/23 03 AM"""
"149","""06/24 12 AM"""
"150","""06/24 01 PM"""
"151","""06/25 12 PM"""
"152","""06/25 03 PM"""
"153","""06/26 02 AM"""
"154","""06/26 03 PM"""
"155","""06/26 06 PM"""
"156","""06/26 07 PM"""
"157","""06/26 08 PM"""
"158","""06/26 09 PM"""
"159","""06/27 09 AM"""
"160","""06/27 09 PM"""
"161","""06/29 08 PM"""
